age,weekly_watch_hours,skip_rate,avg_rating_given,logins_per_week,subscription_type,content_diversity_score,days_since_last_login,notifications_clicked,watch_streak_days,engagement_level
60,10.04,0.86,3.3,2,Basic,0.8,46,3,17,0
21,7.19,0.12,4.3,4,Premium,0.16,43,4,23,1
43,0.44,0.79,1.8,2,Free,0.74,33,12,29,1
43,4.85,0.67,4.1,3,Basic,0.15,56,0,29,0
59,8.99,0.12,3.4,3,Basic,0.38,4,2,6,1
59,9.05,0.69,4.6,2,Free,0.14,40,3,26,1
35,3.74,,1.7,10,Free,0.27,17,6,19,1
45,,0.94,2.7,7,Free,0.98,5,3,26,2
26,1.47,0.14,,3,Premium,0.11,10,3,2,0
43,5.55,0.96,,2,Basic,0.41,45,4,19,0
40,,0.38,1.4,6,Basic,0.68,0,4,20,2
54,9.56,0.96,5.0,4,Free,0.09,22,4,15,0
48,8.37,0.33,2.1,4,Premium,0.11,3,3,3,1
16,2.58,0.96,,5,Free,0.14,6,4,12,0
42,1.36,0.99,1.7,4,Basic,0.64,40,3,24,0
28,8.08,0.27,2.4,5,Premium,0.91,48,3,0,0
56,7.32,0.8,4.0,3,Free,0.83,16,6,0,0
18,1.58,1.0,3.6,6,Basic,0.98,10,3,11,0
54,9.77,0.25,3.3,5,Free,0.58,54,1,12,0
21,4.86,0.44,3.1,2,Free,0.96,57,3,25,0
23,8.82,1.0,4.4,2,Basic,0.3,26,4,6,0
42,,0.29,1.9,5,Free,0.42,11,1,2,1
24,1.49,0.96,2.8,5,Free,0.4,46,4,3,0
52,0.15,0.22,1.6,5,Free,0.05,33,10,0,0
48,12.08,,3.4,8,Free,0.83,7,3,17,2
57,7.53,0.88,2.0,9,Free,0.02,51,4,4,0
59,,0.17,2.3,7,Basic,0.73,22,3,28,2
39,14.57,,2.9,5,Free,0.41,25,1,28,1
30,12.99,0.7,1.1,4,Premium,0.01,33,4,19,0
47,25.94,0.09,1.4,6,Basic,0.29,55,0,10,2
47,6.14,0.65,3.7,2,Free,0.35,31,2,2,0
39,5.36,,2.7,2,Premium,0.96,5,2,17,1
56,4.11,0.96,4.5,6,Free,0.66,0,7,29,2
64,1.33,0.0,3.8,7,Free,0.54,56,1,16,0
64,6.8,0.25,,5,Free,0.13,58,0,13,0
27,2.59,0.93,3.5,1,Free,0.39,49,0,29,0
54,20.34,0.93,1.4,6,Premium,0.04,3,0,29,2
17,7.0,0.92,4.1,4,Free,0.76,24,2,0,0
18,7.19,0.77,5.0,3,Premium,0.16,7,4,16,1
64,3.51,0.09,3.1,1,Basic,0.59,39,2,6,0
52,0.43,0.51,3.7,7,Free,0.7,45,2,15,0
64,0.26,0.23,1.9,2,Premium,0.37,19,1,0,0
32,,0.18,2.8,7,Premium,0.63,13,5,14,2
64,0.71,0.81,4.4,8,Premium,0.76,32,3,1,0
17,7.47,0.14,1.7,6,Basic,0.18,57,6,1,0
17,17.03,0.47,2.1,3,Free,0.6,51,4,23,1
43,17.16,,2.8,2,Free,0.73,2,5,4,1
38,8.61,0.19,,5,Basic,0.36,14,4,3,1
52,1.9,0.98,2.5,6,Free,0.16,26,2,2,0
47,15.9,1.0,4.7,0,Basic,0.29,18,1,7,0
48,17.38,0.56,1.4,4,Basic,0.93,0,2,13,2
16,1.75,0.17,2.5,5,Free,0.36,56,6,25,0
34,10.7,0.32,3.8,5,Free,0.11,34,4,5,0
17,2.7,0.42,1.9,4,Premium,0.08,51,2,22,0
59,12.98,,3.6,4,Free,0.18,32,2,10,1
41,47.13,0.28,1.7,2,Free,0.13,50,1,4,2
47,0.24,,,1,Free,0.5,16,4,4,0
21,18.21,0.15,1.5,3,Free,0.35,12,2,13,2
47,7.8,0.73,4.7,6,Free,0.84,51,2,25,1
19,29.01,0.0,,2,Free,0.88,47,1,23,2
26,5.0,0.6,4.2,2,Free,0.47,57,2,16,0
32,15.04,0.92,2.3,1,Basic,0.89,11,1,27,2
53,,0.29,3.4,3,Free,0.45,38,2,18,0
39,3.27,0.19,3.0,5,Free,0.64,25,6,10,1
20,0.55,0.94,4.8,6,Premium,0.16,26,2,6,0
49,29.62,0.71,4.0,5,Basic,0.05,23,2,12,2
21,13.59,0.69,3.9,4,Free,0.16,55,6,18,1
37,15.31,0.32,,10,Premium,0.25,16,3,24,2
26,22.24,0.25,3.2,0,Free,0.75,10,2,17,2
63,0.71,0.96,2.9,5,Free,0.17,21,6,15,0
31,3.9,0.92,4.7,7,Premium,0.13,7,1,11,0
48,0.59,0.89,2.0,2,Free,0.93,41,4,27,0
24,,0.85,,4,Premium,0.69,47,5,14,0
21,2.08,,2.6,3,Premium,0.47,31,4,0,0
31,5.07,0.42,,7,Free,0.09,28,2,10,0
44,2.5,0.16,,5,Free,0.85,41,3,6,0
18,0.85,0.43,4.4,3,Free,0.11,31,2,15,0
35,1.47,0.54,3.2,2,Free,0.61,55,0,8,0
51,,0.02,4.4,4,Premium,0.67,56,2,19,0
34,28.92,0.44,4.3,6,Free,0.4,39,0,8,2
41,,0.78,2.1,2,Free,0.91,4,6,11,1
18,27.48,,3.2,4,Basic,0.05,48,6,18,2
34,4.63,0.64,1.3,7,Free,0.82,12,8,13,1
35,2.61,0.91,4.7,2,Free,0.55,24,4,11,0
47,12.81,0.02,2.6,5,Free,0.61,41,8,23,2
22,3.16,0.56,2.6,8,Basic,0.99,9,2,8,1
56,2.85,0.95,2.2,1,Free,0.58,25,5,20,0
48,2.12,0.54,,4,Free,0.8,25,1,11,0
55,1.11,0.32,,6,Free,0.15,20,6,12,0
54,2.37,0.9,2.5,4,Basic,0.81,22,4,4,0
33,,0.88,4.2,4,Free,0.76,43,6,4,0
55,8.97,0.47,4.3,2,Free,0.97,11,1,8,1
16,0.52,0.88,2.2,4,Free,0.94,38,4,24,0
26,1.89,0.59,2.9,5,Basic,0.21,42,3,18,0
43,13.24,0.67,,3,Free,0.46,51,3,19,1
40,1.27,,1.2,6,Basic,0.91,55,4,5,0
38,,0.66,4.6,2,Free,0.64,58,3,7,0
46,16.0,0.4,1.9,4,Basic,0.46,57,5,17,1
45,1.35,,3.7,6,Basic,0.11,24,1,29,1
57,0.69,0.98,3.3,3,Premium,0.35,11,3,12,0
50,5.3,0.37,3.2,5,Basic,0.67,35,4,15,1
22,2.88,0.39,4.4,5,Free,0.78,31,3,19,1
31,6.63,0.1,1.4,1,Premium,0.45,17,0,4,0
41,13.03,0.88,2.4,5,Basic,0.06,41,5,21,0
63,1.18,0.09,3.2,6,Premium,0.63,19,3,10,1
64,6.95,0.65,4.2,2,Free,0.92,1,2,16,1
17,5.63,0.92,1.9,3,Basic,0.5,59,4,21,0
16,1.24,,4.2,0,Free,0.93,32,4,29,1
63,7.83,0.68,2.6,2,Basic,0.35,45,4,9,0
27,2.56,0.07,1.8,5,Premium,0.89,16,5,29,2
20,5.35,0.59,4.0,3,Basic,0.79,58,1,6,0
52,0.69,0.77,1.4,3,Basic,0.96,35,5,24,0
47,4.92,0.83,3.1,5,Free,0.79,29,2,10,0
24,,0.17,1.3,5,Free,0.32,56,5,7,0
56,13.82,0.9,2.4,8,Free,0.9,8,2,18,2
50,0.47,0.66,3.4,3,Free,0.67,30,1,4,0
34,4.34,0.88,3.2,4,Free,0.16,38,3,15,0
63,4.91,0.49,2.6,5,Free,0.05,20,3,0,0
31,,0.54,2.7,5,Free,0.37,21,4,24,2
18,6.83,0.92,1.9,6,Free,0.79,16,2,25,1
35,8.8,0.9,2.8,2,Basic,0.62,2,2,27,1
39,12.01,0.45,4.8,0,Basic,0.53,31,3,22,1
48,15.86,0.27,4.4,3,Free,0.0,32,0,18,1
39,3.01,0.39,1.6,4,Free,0.44,9,2,28,1
26,6.18,0.39,1.1,4,Premium,0.16,4,1,21,1
64,14.67,0.29,4.7,4,Free,0.45,3,4,9,2
23,36.41,0.27,3.1,4,Premium,0.99,50,2,13,2
51,17.62,0.86,3.2,5,Free,0.88,37,2,16,1
53,3.71,0.07,4.1,6,Free,0.31,31,1,12,1
55,1.74,0.68,2.3,5,Free,0.59,37,3,15,0
35,5.38,0.17,2.9,7,Free,0.5,40,1,26,1
50,10.83,0.34,4.9,3,Free,0.13,19,4,18,2
63,5.43,0.06,3.7,6,Free,0.99,8,6,11,2
40,5.28,0.27,1.6,1,Basic,0.43,14,6,15,1
50,14.57,0.77,1.5,0,Free,0.51,51,2,16,0
40,3.59,0.87,,3,Basic,0.65,7,4,14,0
44,,0.86,4.1,3,Premium,0.19,55,2,6,0
33,4.18,0.46,,9,Basic,0.22,33,2,18,0
61,3.18,,1.1,4,Free,0.19,29,4,20,0
33,4.84,0.87,,3,Free,0.38,9,4,28,1
17,11.5,0.76,1.7,3,Free,0.2,13,4,4,0
50,1.08,0.92,1.0,8,Basic,0.93,59,5,24,0
31,1.75,0.67,1.9,2,Basic,0.71,55,3,14,0
56,24.2,0.85,1.9,2,Free,0.9,33,3,14,2
51,,0.01,2.7,5,Free,0.85,58,4,0,0
48,6.71,0.4,4.7,1,Free,0.7,55,6,14,0
19,6.93,0.86,4.5,1,Premium,0.24,21,4,2,0
48,5.38,0.74,,6,Free,0.62,12,1,19,1
29,8.28,0.54,,4,Premium,0.19,50,4,19,0
36,2.09,0.53,3.2,5,Premium,0.13,59,4,14,0
63,6.44,0.35,2.0,4,Premium,0.63,58,0,23,0
35,3.72,0.52,,7,Free,0.62,28,5,7,0
23,8.67,0.66,4.8,4,Free,0.16,28,0,19,0
22,1.22,0.42,1.7,6,Free,0.35,6,2,9,0
18,6.77,0.71,1.8,6,Premium,0.07,43,2,13,0
32,1.64,0.86,2.9,6,Free,0.72,5,4,24,1
48,2.61,0.15,3.0,3,Basic,0.99,34,3,24,1
63,1.97,0.45,1.1,6,Premium,0.74,36,6,2,0
27,1.62,0.41,,3,Premium,0.84,3,5,29,2
37,13.98,0.69,2.5,2,Basic,0.48,13,3,28,2
37,2.69,0.25,3.7,6,Free,0.1,5,2,8,1
61,20.95,0.64,1.9,5,Free,0.73,16,3,23,2
45,28.03,,2.7,3,Free,0.26,48,5,19,2
53,6.78,0.42,3.2,3,Premium,0.39,23,4,9,0
53,1.23,0.91,4.6,4,Premium,0.7,12,3,20,0
60,3.75,0.99,,3,Free,0.9,55,2,28,0
23,12.79,0.11,1.5,1,Free,0.49,11,3,1,1
42,3.66,0.23,3.0,2,Basic,0.96,56,3,22,0
42,0.73,0.95,,6,Free,0.52,28,4,17,0
49,6.51,0.96,1.4,4,Free,0.12,23,1,0,0
36,14.92,0.1,,1,Free,0.52,33,11,25,2
45,12.71,0.01,1.1,2,Premium,0.86,13,2,10,2
48,,0.16,1.1,3,Premium,0.54,26,2,4,0
43,8.94,1.0,2.9,3,Basic,0.75,4,3,23,1
62,1.99,0.18,2.2,4,Basic,0.55,39,1,28,1
48,1.97,0.5,4.4,5,Free,0.55,46,3,3,0
20,,0.85,3.4,6,Basic,0.28,8,4,0,1
63,2.3,0.02,2.8,8,Free,0.2,15,3,3,0
34,2.44,0.6,2.6,4,Free,0.28,12,0,24,0
19,0.01,0.93,,5,Free,0.44,53,4,23,0
50,16.36,0.86,1.2,6,Free,0.81,14,3,24,2
64,12.58,0.28,4.6,2,Premium,0.83,35,5,22,2
32,7.9,0.69,5.0,7,Premium,0.16,24,5,21,1
59,11.1,0.67,1.7,5,Basic,0.55,15,3,21,1
43,1.32,0.22,1.5,3,Basic,0.42,43,3,0,0
45,4.9,0.03,1.6,10,Free,0.57,51,3,14,1
44,3.46,0.41,3.6,2,Basic,0.65,53,4,18,0
61,0.79,,3.6,7,Basic,0.28,43,5,1,0
21,5.33,0.81,4.4,3,Free,0.92,30,3,22,1
50,20.28,0.8,4.0,2,Free,0.94,46,2,13,1
56,0.33,0.46,,2,Basic,0.11,36,3,25,0
52,2.76,0.61,3.5,4,Free,0.7,32,2,21,0
39,1.86,0.6,3.8,7,Free,0.03,19,2,2,0
44,2.18,0.83,,1,Free,0.05,25,1,3,0
64,19.13,0.43,2.9,3,Free,0.96,34,0,0,1
61,5.05,0.28,3.6,5,Basic,0.69,39,7,10,1
46,5.02,0.27,3.2,5,Basic,0.32,6,6,19,2
50,11.44,0.54,3.6,3,Free,0.67,44,8,17,1
48,1.34,,3.5,2,Premium,0.85,41,1,20,0
36,,0.44,3.9,2,Premium,0.87,30,3,15,1
47,4.5,0.09,3.6,6,Free,0.02,16,0,14,1
38,7.27,0.72,3.1,3,Basic,0.82,42,3,24,1
48,61.79,0.21,3.7,3,Free,0.85,7,4,24,2
18,11.74,,2.8,3,Basic,0.6,22,6,16,2
33,4.06,,2.0,3,Premium,0.48,46,5,21,0
40,14.06,0.85,1.0,3,Free,0.11,43,3,1,0
57,1.5,,3.2,4,Basic,0.24,17,3,0,0
46,0.25,,3.4,1,Premium,0.49,41,3,24,0
18,1.83,0.45,4.9,7,Free,0.87,11,7,13,2
55,3.33,0.95,2.4,6,Free,0.8,29,4,13,0
61,5.72,0.2,2.6,7,Free,0.5,35,4,17,1
39,7.64,0.16,1.8,4,Free,0.79,14,4,29,2
47,19.32,0.88,1.3,6,Free,0.77,17,5,21,2
62,5.7,0.43,,6,Free,0.58,24,3,21,1
37,5.57,0.41,2.0,4,Free,0.22,12,2,18,1
38,0.41,0.04,3.4,5,Free,0.35,23,1,5,0
17,0.28,0.88,3.8,4,Basic,0.16,16,6,3,0
42,6.41,,2.9,6,Premium,0.01,0,4,7,1
57,4.61,,4.5,2,Premium,0.08,55,5,12,0
17,14.62,0.71,,6,Free,0.76,36,2,19,1
41,1.4,,2.1,7,Basic,0.03,48,1,6,0
32,,0.25,4.6,5,Premium,0.4,26,1,9,0
55,4.77,0.87,4.4,2,Premium,0.99,19,0,17,0
48,2.17,0.95,1.7,5,Premium,0.8,17,2,27,0
24,0.41,0.14,1.1,4,Basic,0.75,8,4,21,1
58,10.32,0.5,1.4,6,Free,0.27,9,2,25,2
63,0.95,0.85,2.1,3,Free,0.64,53,2,20,0
54,7.5,0.06,4.9,6,Free,0.5,58,2,0,0
44,2.64,0.33,3.2,3,Free,0.62,24,2,26,1
57,1.52,0.14,2.5,5,Premium,0.44,48,3,4,0
41,,0.71,4.6,5,Free,0.53,0,6,21,2
50,12.93,0.88,2.8,3,Premium,0.99,58,3,1,0
40,3.98,0.14,2.3,7,Basic,0.33,35,4,10,0
39,11.12,,,5,Free,0.22,17,3,15,2
28,1.07,0.81,,0,Free,0.45,46,2,6,0
22,,0.18,4.4,2,Free,0.52,14,1,13,2
51,2.16,0.61,3.0,6,Basic,0.09,32,6,27,1
60,9.05,0.34,,4,Premium,0.81,21,5,0,1
35,6.67,0.59,,5,Premium,0.42,23,5,11,0
16,21.18,0.32,3.3,1,Free,0.41,0,4,10,2
23,3.92,0.09,4.9,2,Free,0.66,10,5,16,2
61,0.55,0.22,2.2,3,Free,0.77,42,4,11,0
31,0.15,0.19,4.2,7,Free,0.99,25,1,26,2
29,14.03,0.43,3.0,5,Premium,0.17,25,2,16,1
27,5.95,0.66,1.2,6,Free,0.35,5,3,17,1
38,11.94,0.26,4.1,7,Basic,0.17,32,3,15,1
30,2.14,0.01,1.7,1,Free,0.88,13,7,0,1
43,3.39,0.52,,6,Free,0.55,23,1,22,1
49,0.24,0.61,1.3,2,Basic,0.85,37,3,29,0
17,26.06,0.96,4.8,2,Basic,0.99,48,3,26,2
47,8.82,0.59,2.2,3,Free,0.55,40,7,4,0
38,21.65,0.47,1.9,7,Basic,0.12,16,7,22,2
37,2.47,0.91,1.5,4,Free,0.36,56,3,26,0
40,7.56,0.93,4.8,3,Basic,0.04,13,3,4,0
37,9.08,0.83,3.8,4,Premium,0.85,18,2,15,1
37,3.06,0.32,4.0,2,Basic,0.02,7,4,23,1
64,15.08,0.24,3.0,1,Free,0.59,55,2,27,1
57,23.52,0.26,2.9,5,Basic,0.11,22,3,29,2
21,17.29,0.5,1.4,5,Premium,0.01,43,4,25,1
30,10.75,0.74,3.2,5,Free,0.26,1,6,23,2
58,2.6,,2.0,4,Basic,0.55,2,2,24,1
52,2.65,0.07,4.9,1,Free,0.08,52,3,18,0
48,26.45,0.72,4.2,3,Premium,0.61,12,1,1,2
23,0.08,0.81,2.7,4,Free,0.67,4,1,28,1
59,10.07,0.29,1.6,2,Premium,0.97,17,1,6,1
59,9.8,0.66,4.1,8,Basic,0.9,0,4,15,2
20,7.8,0.43,1.5,5,Free,0.57,36,3,22,1
54,36.93,0.89,,7,Free,0.79,20,2,28,2
19,2.99,0.99,1.8,3,Free,0.36,43,4,2,0
21,,0.53,3.2,0,Free,0.59,18,3,29,1
60,0.66,0.69,4.1,4,Free,0.4,55,3,28,0
47,4.68,0.88,2.3,3,Free,0.34,37,1,17,0
45,2.42,0.88,1.3,4,Free,0.73,33,0,9,0
62,3.37,0.31,,5,Free,0.3,1,5,1,0
50,14.39,0.75,4.0,2,Free,0.38,19,3,18,1
55,,0.22,,6,Basic,0.37,30,4,14,2
31,1.64,0.39,1.9,3,Free,0.87,12,3,28,1
28,3.73,0.87,4.8,8,Free,0.17,13,5,15,1
57,21.12,0.72,4.8,4,Free,0.38,37,2,7,1
45,0.51,0.4,5.0,7,Basic,0.89,11,2,28,2
34,0.78,0.21,,6,Free,0.02,56,1,27,0
32,1.42,0.95,1.8,4,Free,0.95,12,1,7,0
34,7.24,0.28,1.8,4,Free,0.9,23,8,16,2
